yr1,yr2,gen1,gen2,t,H.mean.size,L,F,Fprime,Ne,lCIp,uCIp,lCIj,uCIj,Sprime
2013,2014,6,7,1,46.6,1502,0.02341,0.00185,270.7,251.7,290.4,121.5,Inf,46.3821892393321
2013,2015,6,8,2,48,1520,0.02107,0.00012,8445.5,7855.6,9056.4,434.1,Inf,47.7326968973747
2013,2016,6,9,3,47,1487,0.02352,0.00214,702.2,652.6,753.5,317.3,Inf,46.7726847521048
2013,2017,6,10,4,48,1516,0.02311,0.00217,923.4,858.8,990.3,447.4,Inf,47.7554918815664
2013,2018,6,11,5,46.7,1506,0.03388,0.01231,203.2,188.9,217.9,145.7,335.4,46.3606861381548
2013,2019,6,12,6,46.9,1543,0.03374,0.01224,245.1,228.1,262.7,178.3,391.8,46.5116279069767
2013,2020,6,13,7,43.3,1453,0.02518,0.00192,1818.7,1688.9,1953.3,800.5,Inf,42.9922613929493
2014,2015,7,8,1,48.1,1515,0.02159,7e-04,716.4,666.3,768.3,170,Inf,47.8697941598851
2014,2016,7,9,2,47.1,1483,0.02355,0.00222,451.4,419.5,484.5,230.8,10255.9,46.882325363338
2014,2017,7,10,3,48.1,1524,0.02212,0.00123,1221.9,1136.7,1310.2,461.4,Inf,47.8697941598851
2014,2018,7,11,4,46.8,1507,0.03297,0.01146,174.6,162.3,187.3,122.1,306.2,46.4900046490005
2014,2019,7,12,5,47,1521,0.03479,0.01335,187.3,174.2,200.9,138.2,290.5,46.6417910447761
2014,2020,7,13,6,43.3,1456,0.02702,0.00381,786.8,730.7,845,467.2,2491.9,43.0848772081
2015,2016,8,9,1,48.5,1488,0.0217,0.00097,512.9,476.7,550.4,164.2,Inf,48.2392667631452
2015,2017,8,10,2,49.6,1517,0.02196,0.00169,591,549.7,633.8,260.2,Inf,49.3339911198816
2015,2018,8,11,3,48.2,1531,0.0326,0.01169,128.3,119.4,137.6,90.7,219.4,47.8240076518412
2015,2019,8,12,4,48.3,1541,0.03232,0.01149,174.1,162,186.6,124.8,288.1,48.0076812289966
2015,2020,8,13,5,44.5,1485,0.02513,0.00251,994.5,924.3,1067.3,500,92173,44.2086648983201
2016,2017,9,10,1,48.5,1478,0.02273,0.00202,247.7,230.1,265.8,119.2,Inf,48.2858522452921
2016,2018,9,11,2,47.2,1480,0.0343,0.01295,77.2,71.8,82.9,55.6,126.4,46.8384074941452
2016,2019,9,12,3,47.3,1493,0.03626,0.01497,100.2,93.2,107.5,75.8,147.7,46.9704086425552
2016,2020,9,13,4,43.7,1413,0.02589,0.00287,695.8,645.4,748,371.6,5458.3,43.4404865334492
2017,2018,10,11,1,48.2,1532,0.03194,0.01105,45.3,42.1,48.5,31.6,79.8,47.8697941598851
2017,2019,10,12,2,48.4,1535,0.03314,0.01232,81.2,75.5,87,59.3,128.7,48.030739673391
2017,2020,10,13,3,44.6,1454,0.02483,0.0023,651.8,605.2,700,335.3,11559.1,44.3852640923213
2018,2019,11,12,1,47,1488,0.02103,-0.00035,-1418.4,-1318.3,Inf,305.4,Inf,46.7726847521048
2018,2020,11,13,2,43.3,1461,0.0356,0.01237,80.8,75.1,86.8,57.8,134.2,43.0477830391735
2019,2020,12,13,1,43.5,1478,0.03544,0.01229,40.7,37.8,43.7,29.3,66.2,43.1965442764579
